N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
46.0,HD한국조선해양,113300.0,8200.0,+7.80%,5000.0,105600.0,113300.0,105600.0
47.0,아모레퍼시픽,131500.0,900.0,+0.69%,500.0,130500.0,132500.0,129100.0
48.0,S-Oil,66500.0,1600.0,+2.47%,2500.0,65700.0,66500.0,64900.0
49.0,한화에어로스페이스,144600.0,3200.0,+2.26%,5000.0,142500.0,146900.0,140100.0
50.0,TIGER CD금리투자KIS(합성),53695.0,10.0,+0.02%,0.0,53690.0,53695.0,53690.0
51.0,카카오페이,52000.0,1000.0,-1.89%,500.0,53500.0,54700.0,51700.0
52.0,SK바이오팜,88600.0,100.0,-0.11%,500.0,88800.0,90000.0,86600.0
53.0,한화오션,22400.0,800.0,+3.70%,5000.0,21900.0,22600.0,21750.0
54.0,SK스퀘어,49050.0,1650.0,+3.48%,100.0,47850.0,49200.0,47850.0
55.0,삼성중공업,7520.0,400.0,+5.62%,1000.0,7230.0,7530.0,7200.0
56.0,KODEX CD금리액티브(합성),1024300.0,315.0,+0.03%,0.0,1024295.0,1024300.0,1024295.0
57.0,현대글로비스,167900.0,900.0,+0.54%,500.0,168500.0,169600.0,166400.0
58.0,KODEX 200,33570.0,495.0,+1.50%,0.0,33420.0,33630.0,33380.0
59.0,한국타이어앤테크놀로지,47800.0,700.0,+1.49%,500.0,46750.0,48700.0,46750.0
60.0,한미반도체,57700.0,1500.0,+2.67%,100.0,58100.0,58400.0,56300.0
61.0,한화솔루션,32600.0,600.0,-1.81%,5000.0,33400.0,34100.0,32450.0
62.0,두산로보틱스,85100.0,2000.0,-2.30%,500.0,88200.0,89500.0,83600.0
63.0,한국항공우주,55400.0,800.0,+1.47%,5000.0,55100.0,55600.0,54200.0
64.0,맥쿼리인프라,12390.0,0.0,0.00%,0.0,12400.0,12460.0,12370.0
65.0,DB손해보험,75900.0,2700.0,-3.44%,500.0,78800.0,79000.0,75400.0
66.0,SK아이이테크놀로지,75000.0,600.0,+0.81%,1000.0,74600.0,78000.0,74600.0
67.0,HD현대,66500.0,100.0,-0.15%,1000.0,67200.0,67500.0,64900.0
68.0,금양,89800.0,2000.0,-2.18%,500.0,92000.0,93800.0,88600.0
69.0,LG이노텍,217000.0,15500.0,+7.69%,5000.0,206000.0,217500.0,206000.0
70.0,롯데케미칼,119100.0,3200.0,-2.62%,5000.0,124600.0,124600.0,118200.0
71.0,TIGER KOFR금리액티브(합성),104120.0,30.0,+0.03%,0.0,104115.0,104120.0,104115.0
72.0,LG생활건강,322500.0,3000.0,-0.92%,5000.0,328000.0,329000.0,321000.0
73.0,한진칼,74000.0,1600.0,-2.12%,2500.0,76100.0,76300.0,73800.0
74.0,현대오토에버,177000.0,2300.0,+1.32%,500.0,177200.0,182000.0,175400.0
75.0,SK바이오사이언스,63000.0,500.0,+0.80%,500.0,63000.0,63700.0,62500.0
76.0,넷마블,55900.0,100.0,-0.18%,100.0,56000.0,57200.0,55700.0
77.0,유한양행,59700.0,100.0,-0.17%,1000.0,59800.0,60500.0,59500.0
78.0,삼성엔지니어링,24050.0,250.0,+1.05%,5000.0,24050.0,24600.0,23800.0
79.0,LG디스플레이,13030.0,150.0,-1.14%,5000.0,13350.0,13440.0,12930.0
80.0,KODEX KOFR금리액티브(합성),105575.0,30.0,+0.03%,0.0,105570.0,105575.0,105570.0
81.0,두산밥캣,44950.0,450.0,+1.01%,500.0,44500.0,45600.0,44350.0
82.0,코스모신소재,138600.0,1000.0,+0.73%,1000.0,139000.0,142600.0,132200.0
83.0,CJ제일제당,286500.0,2000.0,+0.70%,5000.0,287000.0,289000.0,283500.0
84.0,LG유플러스,9710.0,40.0,-0.41%,5000.0,9760.0,9830.0,9680.0
85.0,엔씨소프트,192200.0,1400.0,+0.73%,500.0,191700.0,198000.0,190900.0
86.0,현대제철,31600.0,150.0,+0.48%,5000.0,31550.0,31900.0,31350.0
87.0,한미약품,318000.0,6500.0,-2.00%,2500.0,323000.0,328500.0,316000.0
88.0,코웨이,55000.0,500.0,-0.90%,500.0,55600.0,56000.0,54800.0
89.0,현대차2우B,110000.0,1400.0,+1.29%,5000.0,109900.0,110000.0,108500.0
90.0,미래에셋증권,6490.0,50.0,+0.78%,5000.0,6480.0,6560.0,6470.0
91.0,GS,40500.0,100.0,+0.25%,5000.0,40300.0,40500.0,39650.0
92.0,현대건설,33000.0,200.0,+0.61%,5000.0,33150.0,33300.0,32500.0
93.0,삼성카드,31550.0,100.0,+0.32%,5000.0,31450.0,31800.0,31450.0
94.0,오리온,92000.0,700.0,-0.76%,500.0,92700.0,93600.0,90600.0
95.0,HD현대일렉트릭,98700.0,1300.0,+1.33%,5000.0,98600.0,101500.0,97900.0
96.0,한화시스템,18640.0,120.0,-0.64%,5000.0,19040.0,19050.0,18600.0
97.0,NH투자증권,9800.0,70.0,+0.72%,5000.0,9760.0,9840.0,9740.0
98.0,한온시스템,6080.0,20.0,+0.33%,100.0,6110.0,6250.0,6040.0
99.0,금호석유,111100.0,2400.0,-2.11%,5000.0,113800.0,114700.0,110000.0
100.0,강원랜드,14820.0,200.0,+1.37%,500.0,14700.0,15010.0,14700.0
101.0,삼성증권,35400.0,150.0,-0.42%,5000.0,35750.0,35850.0,35100.0
102.0,한국금융지주,56100.0,800.0,+1.45%,5000.0,55800.0,56300.0,55400.0
103.0,SKC,80100.0,2500.0,+3.22%,5000.0,77600.0,83400.0,76200.0
104.0,현대미포조선,73900.0,1800.0,+2.50%,5000.0,72800.0,74100.0,72600.0
105.0,현대로템,26450.0,450.0,+1.73%,5000.0,26200.0,26750.0,26000.0
106.0,한미사이언스,41000.0,3400.0,-7.66%,500.0,43700.0,44550.0,40450.0
107.0,KODEX 종합채권(AA-이상)액티브,108965.0,170.0,-0.16%,0.0,109005.0,109085.0,108905.0
108.0,CJ대한통운,121900.0,500.0,-0.41%,5000.0,123000.0,124800.0,119000.0
109.0,F&F,71500.0,600.0,+0.85%,100.0,71200.0,72800.0,70500.0
110.0,쌍용C&E,5440.0,60.0,+1.12%,100.0,5430.0,5480.0,5390.0
111.0,KODEX 24-12 은행채(AA+이상)액티브,10180.0,10.0,+0.10%,0.0,10175.0,10180.0,10175.0
112.0,한전기술,70200.0,500.0,+0.72%,200.0,71000.0,71000.0,69000.0
113.0,LIG넥스원,121400.0,100.0,+0.08%,5000.0,121500.0,122400.0,119500.0
114.0,TIGER 미국나스닥100,101850.0,1620.0,+1.62%,0.0,101475.0,101875.0,101415.0
115.0,현대차우,108000.0,1200.0,+1.12%,5000.0,108000.0,108400.0,107100.0
116.0,롯데지주,24500.0,300.0,-1.21%,200.0,24850.0,24950.0,24400.0
117.0,LS,79800.0,300.0,-0.37%,5000.0,80600.0,81300.0,79300.0
118.0,현대해상,28600.0,600.0,-2.05%,500.0,29350.0,29400.0,28450.0
119.0,CJ,86200.0,200.0,+0.23%,5000.0,87000.0,87800.0,85500.0
120.0,BGF리테일,144800.0,4000.0,+2.84%,1000.0,141000.0,145700.0,141000.0
121.0,씨에스윈드,58800.0,1200.0,-2.00%,500.0,60500.0,61400.0,57900.0
122.0,한솔케미칼,217000.0,8000.0,+3.83%,5000.0,211500.0,218500.0,211500.0
123.0,휠라홀딩스,40000.0,800.0,+2.04%,1000.0,39200.0,40000.0,39100.0
124.0,키움증권,92000.0,800.0,-0.86%,5000.0,93100.0,94400.0,92000.0
125.0,TIGER 미국S&P500,16040.0,140.0,+0.88%,0.0,15995.0,16045.0,15975.0
126.0,DB하이텍,51700.0,1200.0,+2.38%,5000.0,51500.0,52200.0,51300.0
127.0,농심,374000.0,5000.0,-1.32%,5000.0,379000.0,379000.0,370000.0
128.0,GS리테일,21650.0,150.0,-0.69%,1000.0,21850.0,22000.0,21650.0
129.0,호텔신라,57500.0,0.0,0.00%,5000.0,57800.0,58500.0,57100.0
130.0,BNK금융지주,7000.0,80.0,+1.16%,5000.0,6890.0,7010.0,6890.0
131.0,KODEX 레버리지,16065.0,450.0,+2.88%,0.0,15955.0,16120.0,15890.0
132.0,아모레G,25900.0,400.0,-1.52%,500.0,26400.0,26450.0,25750.0
133.0,한화생명,2440.0,5.0,+0.21%,5000.0,2450.0,2475.0,2440.0
134.0,한국가스공사,22900.0,100.0,-0.43%,5000.0,22950.0,23050.0,22750.0
135.0,JB금융지주,10600.0,10.0,+0.09%,5000.0,10600.0,10720.0,10600.0
136.0,TIGER 200,33640.0,495.0,+1.49%,0.0,33505.0,33700.0,33455.0
137.0,LG화학우,269000.0,6500.0,-2.36%,5000.0,275500.0,278500.0,269000.0
138.0,제일기획,17930.0,100.0,-0.55%,200.0,18100.0,18160.0,17900.0
139.0,에스원,53600.0,500.0,+0.94%,500.0,53600.0,54400.0,53200.0
140.0,LS ELECTRIC,67600.0,1700.0,+2.58%,5000.0,66700.0,69300.0,66600.0
141.0,OCI홀딩스,98800.0,3400.0,+3.56%,5000.0,95900.0,99700.0,95600.0
142.0,롯데쇼핑,68800.0,0.0,0.00%,5000.0,69500.0,69500.0,68600.0
143.0,팬오션,3625.0,60.0,-1.63%,1000.0,3695.0,3800.0,3590.0
144.0,TIGER 차이나전기차SOLACTIVE,7445.0,30.0,+0.40%,0.0,7475.0,7615.0,7430.0
145.0,KODEX 200TR,11495.0,155.0,+1.37%,0.0,11435.0,11530.0,11435.0
146.0,이마트,67900.0,400.0,+0.59%,5000.0,67800.0,69200.0,67200.0
147.0,영원무역,41150.0,50.0,-0.12%,500.0,41650.0,42500.0,41000.0
148.0,한올바이오파마,34450.0,1300.0,-3.64%,500.0,36000.0,36100.0,34100.0
149.0,KCC,202000.0,1000.0,+0.50%,5000.0,201000.0,204500.0,200000.0
150.0,이수페타시스,27900.0,400.0,+1.45%,1000.0,28350.0,28400.0,27600.0
151.0,한화,23300.0,350.0,+1.53%,5000.0,23100.0,23300.0,22950.0
152.0,TIGER 미국테크TOP10 INDXX,15840.0,295.0,+1.90%,0.0,15780.0,15840.0,15745.0
153.0,TIGER 미국필라델피아반도체나스닥,15090.0,550.0,+3.78%,0.0,14985.0,15090.0,14965.0
154.0,동서,17040.0,10.0,-0.06%,500.0,17050.0,17280.0,17040.0
155.0,동원산업,36300.0,550.0,-1.49%,1000.0,36850.0,38150.0,36000.0
156.0,효성중공업,177500.0,2100.0,-1.17%,5000.0,182700.0,184500.0,175200.0
157.0,대우건설,3980.0,10.0,+0.25%,5000.0,4000.0,4040.0,3970.0
158.0,HL만도,34300.0,50.0,+0.15%,1000.0,34350.0,34650.0,34050.0
159.0,오뚜기,391000.0,500.0,-0.13%,5000.0,392000.0,396000.0,391000.0
160.0,롯데에너지머티리얼즈,33900.0,250.0,+0.74%,500.0,33800.0,34500.0,33600.0
161.0,현대엘리베이,39800.0,350.0,-0.87%,5000.0,39800.0,41000.0,39800.0
162.0,효성첨단소재,347000.0,8500.0,+2.51%,5000.0,341500.0,359000.0,341500.0
163.0,신세계,156200.0,0.0,0.00%,5000.0,155600.0,157600.0,155300.0
164.0,솔루엠,30400.0,100.0,+0.33%,500.0,30500.0,30750.0,30050.0
165.0,한전KPS,33650.0,450.0,+1.36%,200.0,33300.0,33850.0,33300.0
166.0,현대위아,55200.0,200.0,+0.36%,5000.0,55500.0,56000.0,55100.0
167.0,하이트진로,21300.0,50.0,-0.23%,5000.0,21200.0,21600.0,21200.0
168.0,금호타이어,5200.0,40.0,-0.76%,5000.0,5270.0,5280.0,5160.0
169.0,삼양식품,193800.0,2000.0,-1.02%,5000.0,196100.0,199200.0,192600.0
170.0,KG모빌리티,7780.0,110.0,+1.43%,5000.0,7690.0,7860.0,7610.0
171.0,HD현대인프라코어,7250.0,180.0,+2.55%,1000.0,7150.0,7280.0,7130.0
172.0,에스엘,31150.0,150.0,+0.48%,500.0,31350.0,31700.0,31000.0
173.0,한국앤컴퍼니,15220.0,150.0,+1.00%,500.0,15010.0,15400.0,15000.0
174.0,KODEX 200선물인버스2X,2555.0,75.0,-2.85%,0.0,2565.0,2585.0,2540.0
175.0,DL이앤씨,37250.0,100.0,-0.27%,5000.0,37000.0,37850.0,37000.0
176.0,KBSTAR 머니마켓액티브,51545.0,10.0,+0.02%,0.0,51540.0,51545.0,51535.0
177.0,삼아알미늄,96000.0,500.0,+0.52%,500.0,95700.0,99600.0,92800.0
178.0,DGB금융지주,8300.0,80.0,+0.97%,5000.0,8240.0,8340.0,8240.0
179.0,효성티앤씨,321000.0,0.0,0.00%,5000.0,321500.0,329000.0,319000.0
180.0,DS단석,237000.0,34000.0,+16.75%,500.0,217000.0,254500.0,210000.0
181.0,SK가스,148800.0,800.0,+0.54%,5000.0,148900.0,148900.0,147000.0
182.0,코스맥스,121000.0,1500.0,-1.22%,500.0,122500.0,125900.0,119600.0
183.0,두산퓨얼셀,20850.0,150.0,+0.72%,100.0,20950.0,21950.0,20800.0
184.0,대덕전자,27500.0,700.0,+2.61%,500.0,27250.0,27600.0,27000.0
185.0,TCC스틸,51800.0,1100.0,-2.08%,1000.0,53000.0,54000.0,51800.0
186.0,덴티움,122600.0,300.0,+0.25%,500.0,123000.0,127200.0,122000.0
187.0,종근당,106700.0,1300.0,-1.20%,2500.0,108800.0,109800.0,105800.0
188.0,더존비즈온,43850.0,3050.0,+7.48%,500.0,42600.0,46800.0,41550.0
189.0,SK네트웍스,5580.0,30.0,+0.54%,2500.0,5550.0,5640.0,5430.0
190.0,두산,79100.0,1000.0,-1.25%,5000.0,80800.0,81400.0,78300.0
191.0,대웅제약,112500.0,1600.0,-1.40%,2500.0,114700.0,115700.0,112500.0
192.0,LX세미콘,79700.0,800.0,-0.99%,500.0,81600.0,81700.0,79400.0
193.0,에스디바이오센서,10380.0,70.0,-0.67%,500.0,10500.0,10700.0,10340.0
194.0,효성,60500.0,800.0,+1.34%,5000.0,60000.0,61500.0,60000.0
195.0,녹십자,108800.0,300.0,-0.27%,5000.0,110100.0,111300.0,108400.0
196.0,코스모화학,32450.0,450.0,-1.37%,1000.0,33000.0,33600.0,32400.0
197.0,KBSTAR 200,33765.0,495.0,+1.49%,0.0,33565.0,33830.0,33565.0
198.0,롯데정밀화학,47600.0,350.0,+0.74%,5000.0,47550.0,48400.0,47300.0
199.0,KBSTAR 종합채권(A-이상)액티브,101025.0,170.0,-0.17%,0.0,101025.0,101100.0,100975.0
200.0,롯데칠성,131700.0,200.0,-0.15%,500.0,130000.0,132800.0,129000.0
201.0,GS건설,14250.0,20.0,+0.14%,5000.0,14250.0,14520.0,14170.0
202.0,KODEX Top5PlusTR,19180.0,370.0,+1.97%,0.0,19035.0,19180.0,19010.0
203.0,대한전선,9650.0,320.0,+3.43%,1000.0,9380.0,9720.0,9370.0
204.0,KODEX 삼성그룹,8545.0,160.0,+1.91%,0.0,8455.0,8545.0,8455.0
205.0,롯데웰푸드,126500.0,300.0,-0.24%,500.0,126800.0,128100.0,124200.0
206.0,TIGER 2차전지테마,23900.0,535.0,-2.19%,0.0,24445.0,24770.0,23670.0
207.0,한국콜마,52000.0,100.0,-0.19%,500.0,52400.0,53400.0,51900.0
208.0,KODEX 단기채권PLUS,109315.0,15.0,+0.01%,0.0,109300.0,109315.0,109300.0
209.0,코리안리,6960.0,30.0,+0.43%,500.0,6950.0,7000.0,6920.0
210.0,대웅,19510.0,410.0,-2.06%,500.0,19850.0,20200.0,19510.0
211.0,TIGER MSCI Korea TR,14125.0,170.0,+1.22%,0.0,14080.0,14175.0,14075.0
212.0,TIGER TOP10,11000.0,155.0,+1.43%,0.0,10965.0,11050.0,10940.0
213.0,코오롱인더,40200.0,200.0,+0.50%,5000.0,40350.0,40800.0,39950.0
214.0,SK케미칼,63200.0,200.0,-0.32%,5000.0,63100.0,64500.0,63100.0
215.0,제주항공,13420.0,70.0,-0.52%,1000.0,13580.0,13580.0,13200.0
216.0,한샘,45850.0,100.0,-0.22%,1000.0,45800.0,47000.0,45800.0
217.0,현대백화점,45800.0,400.0,-0.87%,5000.0,46350.0,46650.0,45700.0
218.0,DL,50900.0,400.0,-0.78%,5000.0,51100.0,51800.0,50300.0
219.0,KODEX 2차전지산업,20435.0,365.0,-1.75%,0.0,20920.0,21120.0,20240.0
220.0,SK오션플랜트,17570.0,630.0,-3.46%,500.0,18420.0,18500.0,17540.0
221.0,LX인터내셔널,26800.0,350.0,-1.29%,5000.0,27200.0,27500.0,26800.0
222.0,풍산,36800.0,600.0,+1.66%,5000.0,36550.0,37300.0,36450.0
223.0,SK리츠,3805.0,15.0,-0.39%,500.0,3825.0,3940.0,3800.0
224.0,HDC현대산업개발,15300.0,360.0,+2.41%,5000.0,14940.0,15390.0,14930.0
225.0,KODEX 코스닥150레버리지,9955.0,125.0,-1.24%,0.0,10310.0,10490.0,9845.0
226.0,동원시스템즈,34050.0,200.0,+0.59%,5000.0,33750.0,34800.0,33750.0
227.0,영원무역홀딩스,72100.0,900.0,-1.23%,500.0,73700.0,73900.0,72100.0
228.0,후성,10270.0,100.0,+0.98%,500.0,10150.0,10400.0,10150.0
229.0,흥아해운,3990.0,205.0,-4.89%,500.0,4010.0,4110.0,3790.0
230.0,해성디에스,56300.0,1100.0,+1.99%,5000.0,56200.0,56800.0,55400.0
231.0,롯데렌탈,26050.0,100.0,+0.39%,5000.0,25800.0,26150.0,25800.0
232.0,일진하이솔루스,25950.0,50.0,+0.19%,500.0,25950.0,26950.0,25950.0
233.0,하나투어,58600.0,100.0,-0.17%,500.0,59000.0,59700.0,58500.0
234.0,HD현대건설기계,47000.0,1350.0,+2.96%,5000.0,45700.0,47150.0,45700.0
235.0,이수스페셜티케미컬,164000.0,3000.0,-1.80%,5000.0,168100.0,169600.0,162500.0
236.0,TIGER 단기채권액티브,53270.0,10.0,+0.02%,0.0,53285.0,53285.0,53260.0
237.0,아시아나항공,12010.0,180.0,+1.52%,5000.0,12100.0,12190.0,11840.0
238.0,명신산업,16650.0,130.0,-0.77%,500.0,16820.0,17070.0,16560.0
239.0,영풍,468000.0,5000.0,-1.06%,5000.0,476500.0,481000.0,462500.0
240.0,TIGER Fn반도체TOP10,10580.0,385.0,+3.78%,0.0,10405.0,10605.0,10350.0
241.0,드림텍,12300.0,130.0,-1.05%,100.0,12620.0,12620.0,12200.0
242.0,DN오토모티브,84500.0,2000.0,+2.42%,500.0,83800.0,84600.0,83000.0
243.0,JW중외제약,36000.0,800.0,-2.17%,2500.0,36550.0,36900.0,35350.0
244.0,오리온홀딩스,13330.0,230.0,-1.70%,500.0,13700.0,13700.0,13330.0
245.0,세아제강지주,201500.0,500.0,+0.25%,5000.0,203000.0,205000.0,198800.0
246.0,미래에셋생명,4635.0,45.0,-0.96%,5000.0,4700.0,4700.0,4630.0
247.0,보령,11900.0,140.0,+1.19%,500.0,11840.0,12050.0,11790.0
248.0,TKG휴켐스,19990.0,230.0,+1.16%,1000.0,19770.0,20100.0,19770.0
249.0,미원상사,170800.0,700.0,+0.41%,500.0,170800.0,171000.0,170100.0
250.0,대한유화,124300.0,1700.0,-1.35%,5000.0,127000.0,128900.0,122500.0
251.0,이노션,20050.0,550.0,-2.67%,500.0,20450.0,20600.0,19950.0
252.0,제이알글로벌리츠,4045.0,10.0,-0.25%,1000.0,4070.0,4075.0,4040.0
253.0,대한해운,2495.0,315.0,-11.21%,500.0,2590.0,2660.0,2450.0
254.0,한세실업,19860.0,240.0,-1.19%,500.0,20100.0,20400.0,19840.0
255.0,한일시멘트,11410.0,0.0,0.00%,500.0,11350.0,11630.0,11330.0
256.0,세방전지,56100.0,200.0,-0.36%,500.0,56200.0,57100.0,55300.0
257.0,다우기술,17500.0,80.0,+0.46%,500.0,17590.0,17700.0,17480.0
258.0,GKL,12640.0,120.0,+0.96%,500.0,12620.0,12910.0,12560.0
259.0,한국단자,73700.0,500.0,+0.68%,500.0,72500.0,74900.0,72100.0
260.0,ESR켄달스퀘어리츠,3580.0,5.0,-0.14%,1000.0,3595.0,3620.0,3545.0
261.0,롯데손해보험,2450.0,5.0,-0.20%,1000.0,2460.0,2495.0,2425.0
262.0,PI첨단소재,25800.0,100.0,-0.39%,500.0,25900.0,26400.0,25500.0
263.0,한화투자증권,3525.0,210.0,-5.62%,5000.0,3615.0,3695.0,3505.0
264.0,KG스틸,7560.0,70.0,+0.93%,5000.0,7540.0,7740.0,7520.0
265.0,넥센타이어,7740.0,130.0,+1.71%,500.0,7670.0,7780.0,7670.0
266.0,세아베스틸지주,20400.0,150.0,+0.74%,5000.0,20500.0,20850.0,20250.0
267.0,KODEX 미국S&P500TR,14490.0,130.0,+0.91%,0.0,14460.0,14495.0,14435.0
268.0,아이에스동서,23650.0,50.0,+0.21%,500.0,23600.0,24500.0,23350.0
269.0,TIGER 200 IT,30725.0,660.0,+2.20%,0.0,30545.0,30785.0,30470.0
270.0,롯데리츠,3000.0,10.0,-0.33%,500.0,3010.0,3030.0,3000.0
271.0,더블유게임즈,39950.0,350.0,+0.88%,500.0,39600.0,40750.0,39600.0
272.0,ACE 미국S&P500,16210.0,145.0,+0.90%,0.0,16145.0,16215.0,16145.0
273.0,LG전자우,42100.0,50.0,-0.12%,5000.0,42250.0,42500.0,41700.0
274.0,롯데정보통신,46650.0,350.0,-0.74%,5000.0,47700.0,48850.0,45350.0
275.0,대신증권,14040.0,80.0,+0.57%,5000.0,13960.0,14040.0,13940.0
276.0,NHN,20350.0,0.0,0.00%,500.0,20500.0,20700.0,20150.0
277.0,진에어,13610.0,60.0,+0.44%,1000.0,13650.0,13670.0,13150.0
278.0,SK디스커버리,37250.0,700.0,+1.92%,5000.0,36850.0,37700.0,36850.0
279.0,HSD엔진,9900.0,310.0,+3.23%,1000.0,9640.0,9920.0,9630.0
280.0,OCI,95200.0,800.0,-0.83%,5000.0,96100.0,97900.0,94700.0
281.0,자화전자,31500.0,550.0,+1.78%,500.0,31100.0,32200.0,30900.0
282.0,롯데관광개발,9150.0,30.0,+0.33%,500.0,9230.0,9380.0,9140.0
283.0,녹십자홀딩스,14740.0,0.0,0.00%,500.0,14760.0,15050.0,14740.0
284.0,TIGER 2차전지소재Fn,7685.0,190.0,-2.41%,0.0,7940.0,8005.0,7605.0
285.0,동양생명,4285.0,15.0,+0.35%,5000.0,4280.0,4310.0,4255.0
286.0,율촌화학,27600.0,0.0,0.00%,500.0,27700.0,28950.0,27300.0
287.0,경동나비엔,46750.0,0.0,0.00%,1000.0,47500.0,47900.0,46750.0
288.0,미원에스씨,134500.0,100.0,-0.07%,500.0,135300.0,135300.0,133900.0
289.0,KODEX 반도체,35635.0,1180.0,+3.42%,0.0,35050.0,35690.0,35015.0
290.0,KODEX 인버스,4610.0,65.0,-1.39%,0.0,4620.0,4635.0,4595.0
291.0,비에이치,19190.0,1150.0,+6.37%,500.0,18450.0,19410.0,18400.0
292.0,케이씨텍,31650.0,1750.0,+5.85%,500.0,30700.0,31950.0,30000.0
293.0,CJ CGV,5310.0,10.0,-0.19%,500.0,5370.0,5440.0,5290.0
294.0,태광산업,581000.0,2000.0,+0.35%,5000.0,576000.0,584000.0,573000.0
295.0,신풍제약,12200.0,120.0,-0.97%,500.0,12320.0,12520.0,12200.0
296.0,KODEX 단기채권,108495.0,5.0,0.00%,0.0,108480.0,108510.0,108480.0
297.0,ACE 미국30년국채액티브(H),8620.0,130.0,-1.49%,0.0,8660.0,8665.0,8615.0
298.0,TIGER 24-10 회사채(A+이상)액티브,54200.0,10.0,+0.02%,0.0,54185.0,54205.0,54185.0
299.0,티웨이항공,3205.0,75.0,+2.40%,500.0,3180.0,3250.0,3100.0
300.0,동아쏘시오홀딩스,100000.0,1600.0,+1.63%,5000.0,98500.0,100600.0,98500.0
301.0,대상,18260.0,150.0,-0.81%,1000.0,18410.0,18540.0,18160.0
